,SOH,recommendation
0,98.90743735366776,Exceptional condition. Battery is performing at peak efficiency. Maintain current usage and charging patterns.
1,97.00762337177332,Excellent condition. Battery health is optimal. Continue current practices and avoid extreme temperatures.
2,90.3084935991584,Good condition. Slight performance decrease may be noticeable. Avoid frequent full discharges and minimize exposure to high temperatures.
3,88.9021860493871,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
4,93.76923965971702,Very good condition. Minor degradation detected. Optimize charging by keeping battery between 20-80% when possible.
5,78.02517602515756,Below average condition. Significant capacity loss. Use power-saving mode frequently and avoid demanding applications when possible.
6,92.50109912519162,Very good condition. Minor degradation detected. Optimize charging by keeping battery between 20-80% when possible.
7,86.2811233846639,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
8,82.97742951097719,"Fair condition. Battery life noticeably shorter. Optimize device settings, avoid extreme temperatures, and consider reducing heavy usage."
9,78.65545583316535,Below average condition. Significant capacity loss. Use power-saving mode frequently and avoid demanding applications when possible.
10,93.77796829253576,Very good condition. Minor degradation detected. Optimize charging by keeping battery between 20-80% when possible.
11,84.96099151519252,Average condition. Performance decline may be evident. Implement battery-saving measures like reducing screen brightness and background app usage.
12,97.57218012485264,Excellent condition. Battery health is optimal. Continue current practices and avoid extreme temperatures.
13,92.31159716663146,Very good condition. Minor degradation detected. Optimize charging by keeping battery between 20-80% when possible.
14,83.61264640639665,Average condition. Performance decline may be evident. Implement battery-saving measures like reducing screen brightness and background app usage.
15,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
16,84.65097815885733,Average condition. Performance decline may be evident. Implement battery-saving measures like reducing screen brightness and background app usage.
17,90.98343983005282,Good condition. Slight performance decrease may be noticeable. Avoid frequent full discharges and minimize exposure to high temperatures.
18,95.49573316165532,Excellent condition. Battery health is optimal. Continue current practices and avoid extreme temperatures.
19,79.39338334515794,Below average condition. Significant capacity loss. Use power-saving mode frequently and avoid demanding applications when possible.
20,99.2021793023216,Exceptional condition. Battery is performing at peak efficiency. Maintain current usage and charging patterns.
21,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
22,89.86163964324689,Good condition. Slight performance decrease may be noticeable. Avoid frequent full discharges and minimize exposure to high temperatures.
